COMPANY_CD,BU_STATE_TIN,INVOICE_SEQ,FINANCIAL_YEAR,PDF_TYPE,FILE_NAME,ENT_BY,ENT_DT,MODIFY_BY,MODIFY_DT,PDF_SIGNED,SIGNED_BY,SIGNED_DT,SIGNED_ENT_BY,PDF_CONTENT,SF_GEN_DT
2,24,17,2022-2023,O,SERVICE_INVOICE-15062022-SGIPL-Gyproc Jhagadia SGIPL-V-17-O.pdf,113,16/06/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/06/2022 00:00:00,null,null,null
2,24,17,2022-2023,T,SERVICE_INVOICE-15062022-SGIPL-Gyproc Jhagadia SGIPL-V-17-T.pdf,113,16/06/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,16/06/2022 00:00:00,null,null,null
2,24,20,2022-2023,D,SERVICE_INVOICE-30062022-SGIPL-Gyproc Jhagadia SGIPL-V-20-D.pdf,113,01/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2022 00:00:00,null,null,null
2,24,20,2022-2023,O,SERVICE_INVOICE-30062022-SGIPL-Gyproc Jhagadia SGIPL-V-20-O.pdf,113,01/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2022 00:00:00,null,null,null
2,24,20,2022-2023,T,SERVICE_INVOICE-30062022-SGIPL-Gyproc Jhagadia SGIPL-V-20-T.pdf,113,01/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2022 00:00:00,null,null,null
2,24,21,2022-2023,D,SERVICE_INVOICE-30062022-SGIPL-Gyproc Jhagadia SGIPL-V-21-D.pdf,113,01/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2022 00:00:00,null,null,null
2,24,21,2022-2023,O,SERVICE_INVOICE-30062022-SGIPL-Gyproc Jhagadia SGIPL-V-21-O.pdf,113,01/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2022 00:00:00,null,null,null
2,24,21,2022-2023,T,SERVICE_INVOICE-30062022-SGIPL-Gyproc Jhagadia SGIPL-V-21-T.pdf,113,01/07/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/07/2022 00:00:00,null,null,null
2,24,26,2022-2023,D,SERVICE_INVOICE-31072022-SGIPL-Jhagadia SGIPL-V-26-D.pdf,23,01/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2022 00:00:00,null,null,null
2,24,26,2022-2023,O,SERVICE_INVOICE-31072022-SGIPL-Jhagadia SGIPL-V-26-O.pdf,23,01/08/2022 00:00:00,null,null,Y,NAKUL ASHOK RAHEJA,01/08/2022 00:00:00,null,null,null
